translator,no,bertscore,rhymeSchemeSimilarityF1,rhymeSchemeSimilarityPrecision,rhymeSchemeSimilarityRecall
30_dense_deepl,0,0.9201635362948224,0.0,1.0,0.0
30_dense_deepl,1,0.9520256957732931,0.0,1.0,0.0
30_dense_deepl,2,0.949390860146578,0.0,1.0,0.0
30_dense_deepl,3,0.919006052094877,0.0,1.0,0.0
30_dense_deepl,4,0.9192499286043124,0.0,1.0,0.0
30_dense_deepl,5,0.9283480551750641,0.0,1.0,0.0
30_dense_deepl,6,0.9087812591786526,0,0.0,0.0
30_dense_deepl,7,0.9246622524303671,0.125,1.0,0.06666666666666667
30_dense_deepl,8,0.9189907771622909,0.125,1.0,0.06666666666666667
30_dense_deepl,9,0.9234905340382878,0,0.0,0.0
30_dense_deepl,10,0.9523519990615815,0.0,1.0,0.0
30_dense_deepl,11,0.9440240653642815,0.0,1.0,0.0
30_dense_deepl,12,0.9156756291733842,0.0,1.0,0.0
30_dense_deepl,13,0.9260696059494208,0,0.0,0.0
30_dense_deepl,14,0.9296586667879126,0.0,1.0,0.0
30_dense_deepl,15,0.9308239213226032,0.0,1.0,0.0
30_dense_deepl,16,0.95293694711151,0.0,1.0,0.0
30_dense_deepl,17,0.905820372316745,0.0,1.0,0.0
30_dense_deepl,18,0.9437359466144383,0.0,1.0,0.0
30_dense_deepl,19,0.9375135464401974,0.0,1.0,0.0
30_dense_deepl,20,0.9229109642731818,0.0,1.0,0.0
30_dense_deepl,21,0.9090894463048653,0.0,1.0,0.0
30_dense_deepl,22,0.9348666474826033,0.0,1.0,0.0
30_dense_deepl,23,0.9193676291507767,0.0,1.0,0.0
30_dense_deepl,24,0.9152661886845991,0.0,1.0,0.0
30_dense_deepl,25,0.941641595519649,0,0.0,0.0
30_dense_deepl,26,0.9302384006384343,0.0,1.0,0.0
30_dense_deepl,27,0.960012211941791,0.1111111111111111,0.3333333333333333,0.06666666666666667
30_dense_deepl,28,0.9375053345093871,0.0,1.0,0.0
30_dense_deepl,29,0.9114163503635535,0.125,1.0,0.06666666666666667
30_dense_b,0,0.895208438642971,0.21428571428571427,0.75,0.125
30_dense_b,1,0.8907748345673228,0.9333333333333333,1.0,0.875
30_dense_b,2,0.8991351969654374,0.9090909090909091,1.0,0.8333333333333334
30_dense_b,3,0.8662394596296175,0.5,1.0,0.3333333333333333
30_dense_b,4,0.9018957392289212,0.5,1.0,0.3333333333333333
30_dense_b,5,0.9046826968663184,0.3333333333333333,0.6666666666666666,0.2222222222222222
30_dense_b,6,0.8552813860034812,0.6451612903225806,0.7692307692307693,0.5555555555555556
30_dense_b,7,0.8729801971419782,0.33333333333333337,1.0,0.2
30_dense_b,8,0.8851474648033644,0.7333333333333333,0.7333333333333333,0.7333333333333333
30_dense_b,9,0.9050969957937258,0.5,0.35714285714285715,0.8333333333333334
30_dense_b,10,0.9298978917884184,0.8,1.0,0.6666666666666666
30_dense_b,11,0.8862416615823581,0.5,1.0,0.3333333333333333
30_dense_b,12,0.8842154314029639,0,0.0,0.0
30_dense_b,13,0.8802242148426859,0.5,1.0,0.3333333333333333
30_dense_b,14,0.89833301865031,1.0,1.0,1.0
30_dense_b,15,0.8833107819078007,1.0,1.0,1.0
30_dense_b,16,0.8629222512706124,0.0,1.0,0.0
30_dense_b,17,0.8704778227364175,1.0,1.0,1.0
30_dense_b,18,0.9090293613409259,0.0,1.0,0.0
30_dense_b,19,0.9105401004714291,0.8,1.0,0.6666666666666666
30_dense_b,20,0.9075353716297677,1.0,1.0,1.0
30_dense_b,21,0.8850789449669549,0.0,1.0,0.0
30_dense_b,22,0.9208098548695963,0.0,1.0,0.0
30_dense_b,23,0.9204141446869684,0.2857142857142857,1.0,0.16666666666666666
30_dense_b,24,0.8926091049288561,0.10526315789473684,1.0,0.05555555555555555
30_dense_b,25,0.8730302487856879,0.7741935483870969,0.75,0.8
30_dense_b,26,0.8841802456521837,0.8750000000000001,1.0,0.7777777777777778
30_dense_b,27,0.8797863474165835,0.5714285714285715,1.0,0.4
30_dense_b,28,0.8760522134842276,0.5882352941176471,1.0,0.4166666666666667
30_dense_b,29,0.8836942702302223,0.28571428571428575,0.3076923076923077,0.26666666666666666
30_dense_d,0,0.8730374742567579,0.28571428571428575,0.45454545454545453,0.20833333333333334
30_dense_d,1,0.8869870538571546,0.6666666666666666,1.0,0.5
30_dense_d,2,0.8905646363556728,1.0,1.0,1.0
30_dense_d,3,0.8637748325735832,0.5882352941176471,1.0,0.4166666666666667
30_dense_d,4,0.9030780051230048,0.2857142857142857,1.0,0.16666666666666666
30_dense_d,5,0.8724260797662834,0.6153846153846153,1.0,0.4444444444444444
30_dense_d,6,0.8526283892736617,0.6666666666666666,0.6666666666666666,0.6666666666666666
30_dense_d,7,0.8651988600277329,0.35294117647058826,0.3157894736842105,0.4
30_dense_d,8,0.8703359018545667,1.0,1.0,1.0
30_dense_d,9,0.8958976256773008,0.8,1.0,0.6666666666666666
30_dense_d,10,0.8767304609733331,1.0,1.0,1.0
30_dense_d,11,0.8985227839717737,0.3333333333333333,0.3333333333333333,0.3333333333333333
30_dense_d,12,0.8961273171041333,0.5,1.0,0.3333333333333333
30_dense_d,13,0.8884000223874163,0.4,0.5,0.3333333333333333
30_dense_d,14,0.9034349434532307,0.5,1.0,0.3333333333333333
30_dense_d,15,0.8910014103501772,1.0,1.0,1.0
